"geo","domain","count"
"United States (US)","Software",NA
"United States (US)","Customer Service",NA
"United States (US)","Predictive Analytics",NA
"United States (US)","Artificial Intelligence",98763000
"United Kingdom (GB)","Information Technology",NA
"United Kingdom (GB)","Data Center",NA
"United Kingdom (GB)","IT Infrastructure",NA
"United States (US)","Internet",NA
"United States (US)","Communications Infrastructure",NA
"United States (US)","Telecommunications",NA
"United States (US)","Retail",NA
"United States (US)","Information Technology",NA
"United States (US)","Internet of Things",55150000
"United States (US)","Electronics",NA
"United States (US)","TV Production",175000
"United States (US)","Digital Media",NA
"United States (US)","Digital Entertainment",130075000
"United States (US)","eSports",175000
"United States (US)","3D Technology",153100000
"United States (US)","Hardware",NA
"United States (US)","Enterprise Software",NA
"Vietnam (VN)","Home Renovation",1680000
"Vietnam (VN)","Home Decor",1680000
"Vietnam (VN)","Furniture",1680000
"United States (US)","Manufacturing",NA
"United States (US)","Semiconductor",NA
"United States (US)","Security",NA
"United States (US)","Government",NA
"Canada (CA)","E-Commerce",NA
"Canada (CA)","Books",NA
"Canada (CA)","Shopping",NA
"Canada (CA)","Internet",NA
"Canada (CA)","Marketplace",NA
"Canada (CA)","Publishing",NA
"United States (US)","Financial Services",NA
"United States (US)","Education",NA
"United States (US)","Training",NA
"United States (US)","Apps",NA
"United States (US)","DSP",18700000
"United States (US)","Digital Signage",9802000
"United States (US)","Banking",NA
"United States (US)","Venture Capital",75000000
"United States (US)","Finance",NA
"United States (US)","Consulting",NA
"United States (US)","Database",NA
"United States (US)","Biotechnology",NA
"United States (US)","Medical Device",NA
"United States (US)","Health Diagnostics",NA
"United States (US)","Computer",NA
"United States (US)","VoIP",NA
"United States (US)","Web Hosting",NA
"United States (US)","Virtualization",160350000
"United States (US)","Data Storage",NA
"United States (US)","Sales",NA
"United States (US)","Marketing",NA
"United States (US)","Web Design",53096000
"United States (US)","Web Development",NA
"United States (US)","Mobile",NA
"United States (US)","UX Design",15500000
"United States (US)","Content",NA
"United States (US)","Business Development",NA
"United States (US)","E-Commerce",NA
"United States (US)","Pharmaceutical",NA
"United States (US)","Medical",NA
"United States (US)","Health Care",NA
"United States (US)","Clinical Trials",NA
"United States (US)","Aerospace",NA
"United States (US)","Product Design",NA
"United States (US)","Enterprise",NA
"United States (US)","Enterprise Resource Planning (ERP)",13840000
"United States (US)","Business Intelligence",106104000
"United States (US)","SaaS",NA
"United States (US)","Data Visualization",28833000
"United States (US)","Cloud Computing",NA
"United Kingdom (GB)","Software",NA
"United States (US)","Publishing",NA
"United States (US)","Asset Management",NA
"United States (US)","Digital Marketing",17084000
"United States (US)","News",NA
"United States (US)","Intelligent Systems",31463000
"United States (US)","Embedded Software",17240000
"United States (US)","Therapeutics",NA
"United States (US)","Advertising",NA
"United States (US)","Video",NA
"United States (US)","Ad Network",24100000
"United States (US)","Pet",6000000
"United States (US)","Life Science",NA
"United States (US)","Data Integration",NA
"United States (US)","Outsourcing",56925000
"United States (US)","Hospital",NA
"United States (US)","Intellectual Property",NA
"United States (US)","Solar",NA
"United States (US)","Energy",NA
"Italy (IT)","Chemical",NA
"United Kingdom (GB)","Internet of Things",12645144
"United Kingdom (GB)","Web Hosting",12645144
"United Kingdom (GB)","Mobile",NA
"United Kingdom (GB)","Advertising",NA
"United Kingdom (GB)","Marketing",NA
"Morocco (MA)","Aerospace",NA
"United States (US)","TV",NA
"United States (US)","Wireless",NA
"Canada (CA)","Online Portals",NA
"Canada (CA)","Aerospace",NA
"Canada (CA)","Education",NA
"Germany (DE)","Medical",NA
"Germany (DE)","Biopharma",NA
"Germany (DE)","Health Care",NA
"Germany (DE)","Biotechnology",NA
"Germany (DE)","Pharmaceutical",NA
"Singapore (SG)","Marketing",NA
"Singapore (SG)","Predictive Analytics",6000000
"Singapore (SG)","Artificial Intelligence",6000000
"Singapore (SG)","Advertising",NA
"United States (US)","Diabetes",NA
"United States (US)","Mobile Apps",NA
"United States (US)","PC Games",10500000
"United States (US)","Gaming",NA
"United States (US)","Agriculture",24600000
"United States (US)","Home and Garden",9400000
"Canada (CA)","Product Research",NA
"Canada (CA)","Biotechnology",NA
"Canada (CA)","Genetics",NA
"Malaysia (MY)","Air Transportation",26000000
"Malaysia (MY)","Tourism",26000000
"Malaysia (MY)","Travel",26000000
"United States (US)","Renewable Energy",NA
"United States (US)","Sensor",NA
"United States (US)","Environmental Engineering",4600000
"United States (US)","Energy Management",32160000
"United States (US)","RFID",96900000
"United States (US)","Network Hardware",NA
"Burkina Faso (BF)","Telecommunications",NA
"Burkina Faso (BF)","Mobile",NA
"United States (US)","Internet Radio",21700000
"United States (US)","Video on Demand",NA
"United States (US)","Recruiting",55230000
"United States (US)","Personal Branding",4200000
"United States (US)","Risk Management",140268000
"Germany (DE)","",NA
"United States (US)","Biopharma",NA
"France (FR)","Manufacturing",NA
"France (FR)","Electronics",NA
"France (FR)","Semiconductor",18480000
"United States (US)","Transportation",NA
"United States (US)","Apparel",63000000
"Japan (JP)","Information Technology",NA
"Japan (JP)","Advertising",NA
"Japan (JP)","Marketing",NA
"Japan (JP)","Content Creators",NA
"United States (US)","Personalization",NA
"United States (US)","Location Based Services",NA
"United States (US)","E-Commerce Platforms",8526000
"United States (US)","Wired Telecommunications",9026000
"Ireland (IE)","Biotechnology",NA
"Ireland (IE)","Health Diagnostics",NA
"United States (US)","Consumer Electronics",NA
"United States (US)","Private Social Networking",37000000
"United States (US)","Public Relations",NA
"United Kingdom (GB)","Semiconductor",NA
"United Kingdom (GB)","Video",NA
"United States (US)","Network Security",NA
"United States (US)","Resorts",12000000
"United States (US)","Industrial",NA
"Germany (DE)","Food and Beverage",NA
"Germany (DE)","Grocery",NA
"Germany (DE)","Fitness",NA
"Australia (AU)","Mobile",NA
"Australia (AU)","Wireless",NA
"Australia (AU)","Analytics",NA
"United Kingdom (GB)","Energy",NA
"United Kingdom (GB)","Oil and Gas",NA
"United Kingdom (GB)","Manufacturing",NA
"United States (US)","ISP",NA
"United States (US)","Optical Communication",NA
"United Kingdom (GB)","Intellectual Property",NA
"United Kingdom (GB)","DSP",5000000
"United States (US)","Embedded Systems",22300000
"Spain (ES)","Manufacturing",NA
"Spain (ES)","Industrial",NA
"Spain (ES)","Medical",NA
"Spain (ES)","Sensor",NA
"Austria (AT)","Biotechnology",NA
"Austria (AT)","Health Diagnostics",NA
"Austria (AT)","Health Care",NA
"United States (US)","Audio",NA
"United States (US)","Innovation Management",61600000
"The Netherlands (NL)","News",NA
"United States (US)","Video Streaming",NA
"United Kingdom (GB)","Telecommunications",NA
"United Kingdom (GB)","Network Security",15000000
"United States (US)","Accounting",NA
"United States (US)","National Security",NA
"United States (US)","Service Industry",NA
"United States (US)","Management Information Systems",NA
"Italy (IT)","Manufacturing",NA
"United States (US)","Genetics",NA
"United States (US)","Data Management",NA
"United States (US)","Compliance",NA
"Brazil (BR)","Information Technology",NA
"Brazil (BR)","Consulting",NA
"Brazil (BR)","Outsourcing",NA
"United States (US)","Open Source",NA
"United States (US)","Collaboration",NA
"United States (US)","Construction",NA
"United States (US)","Project Management",96000000
"United States (US)","Trading Platform",NA
"United States (US)","Architecture",NA
"Switzerland (CH)","Apps",NA
"Switzerland (CH)","Architecture",NA
"United States (US)","Online Auctions",NA
"United Kingdom (GB)","Pharmaceutical",NA
"United Kingdom (GB)","Biotechnology",NA
"United Kingdom (GB)","Life Science",35508096
"United States (US)","Test and Measurement",NA
"United States (US)","Supply Chain Management",NA
"Bermuda (BM)","InsurTech",NA
"Bermuda (BM)","Risk Management",NA
"Bermuda (BM)","Insurance",NA
"United Kingdom (GB)","Medical",NA
"United States (US)","Cyber Security",NA
"United States (US)","Privacy",21500000
"United States (US)","Communication Hardware",174000000
"United States (US)","Developer Platform",NA
"United States (US)","Video Games",NA
"United States (US)","Analytics",NA
"United States (US)","Professional Services",98474000
"United States (US)","Logistics",NA
"United States (US)","Homeland Security",7750000
"United States (US)","Call Center",70000000
"United States (US)","Crowdfunding",NA
"Germany (DE)","Software",NA
"Germany (DE)","Security",6200000
"Germany (DE)","Network Security",6200000
"Germany (DE)","Email",6200000
"France (FR)","Software",NA
"France (FR)","Enterprise Software",8460721
"France (FR)","Archiving Service",6200000
"France (FR)","Data Storage",6200000
"France (FR)","Security",13200000
"France (FR)","Cloud Computing",NA
"United States (US)","Packaging Services",NA
"Canada (CA)","Software",NA
"Canada (CA)","Service Industry",28000000
"Canada (CA)","Information Technology",NA
"Canada (CA)","Consulting",13000000
"Canada (CA)","Robotics",15016717
"United States (US)","Social Media Management",12000000
"United States (US)","Social CRM",12000000
"United States (US)","Retail Technology",30971000
"United States (US)","Online Portals",NA
"United States (US)","Broadcasting",NA
"United States (US)","Air Transportation",15000000
"United States (US)","Biometrics",15000000
"United States (US)","NFC",20320000
"United States (US)","Identity Management",88200000
"United States (US)","Market Research",NA
"United States (US)","Application Performance Management",65149000
"United States (US)","Data Center",NA
"Switzerland (CH)","Manufacturing",NA
"United States (US)","Information Services",NA
"United States (US)","Chemical",NA
"United States (US)","Mobile Devices",112642000
"United States (US)","Electrical Distribution",55000000
"United States (US)","Consumer Software",19960000
"United States (US)","Enterprise Applications",NA
"Pakistan (PK)","Retail",2891347
"Pakistan (PK)","Manufacturing",2891347
"Pakistan (PK)","AgTech",2891347
"Pakistan (PK)","Lifestyle",2891347
"United States (US)","Music",NA
"Switzerland (CH)","Communication Hardware",2500000
"Switzerland (CH)","Network Hardware",2500000
"South Korea (KR)","Apps",NA
"South Korea (KR)","Comics",NA
"Germany (DE)","Enterprise Software",NA
"United States (US)","CRM",NA
"Switzerland (CH)","Web Hosting",7500000
"Switzerland (CH)","Information Technology",NA
"Switzerland (CH)","Enterprise Software",7500000
"Switzerland (CH)","Laser",7500000
"China (CN)","Mobile",46160331
"China (CN)","Government",1160331
"China (CN)","Robotics",1522836
"China (CN)","Internet",47328191
"China (CN)","Software",NA
"China (CN)","Information Technology",NA
"Canada (CA)","Mobile",NA
"Canada (CA)","Wireless",120921252
"United States (US)","Children",57300000
"United States (US)","EBooks",4000000
"Canada (CA)","Information Services",NA
"Canada (CA)","Information and Communications Technology (ICT)",NA
"Canada (CA)","Telecommunications",NA
"United States (US)","Lifestyle",NA
"United States (US)","Developer Tools",NA
"United States (US)","FinTech",NA
"United States (US)","Payments",NA
"Sweden (SE)","Medical",21000000
"Sweden (SE)","Biopharma",21000000
"Sweden (SE)","Biotechnology",21000000
"Sweden (SE)","Health Care",21000000
"Sweden (SE)","Pharmaceutical",21000000
"United States (US)","Sports",NA
"United States (US)","Wellness",NA
"United States (US)","Alternative Medicine",5000000
"United Kingdom (GB)","Therapeutics",5741698
"United Kingdom (GB)","Health Care",NA
"Italy (IT)","Education",19873302
"Italy (IT)","Medical",NA
"Italy (IT)","Biotechnology",19873302
"Italy (IT)","Association",19873302
"Canada (CA)","Food and Beverage",5000000
"Canada (CA)","Hospitality",NA
"Canada (CA)","Restaurants",5000000
"United Kingdom (GB)","Developer APIs",10000000
"United Kingdom (GB)","Mobile Payments",10000000
"United Kingdom (GB)","iOS",12419165
"United States (US)","Content Delivery Network",44311500
"United States (US)","Bitcoin",1500000
"United States (US)","Social Media",152600000
"United States (US)","Artificial Intelligence (AI)",NA
"United States (US)","Incubators",5000000
"United Kingdom (GB)","Business Intelligence",NA
"United Kingdom (GB)","Analytics",NA
"United Kingdom (GB)","Big Data",NA
"United Kingdom (GB)","Market Research",1004243
"United Kingdom (GB)","SaaS",NA
"Canada (CA)","",NA
"United States (US)","Infrastructure",NA
"United States (US)","Big Data",NA
"United States (US)","Cloud Data Services",61200000
"United States (US)","Jewelry",7014769
"United States (US)","Oil and Gas",NA
"United Kingdom (GB)","Leisure",14085057
"United Kingdom (GB)","Retail",NA
