"geo","domain","count"
"London (1649)","Artificial intelligence",1197036192
" (NA)","Artificial intelligence",1308981288
"Paris (715)","Artificial intelligence",158230112
"Boston (1687)","Artificial intelligence",495700000
"San Francisco-Oakland (1785)","Artificial intelligence",7214304587
"Leipzig (742)","Artificial intelligence",100000
"Reading-Wokingham (1655)","Artificial intelligence",5237143
"Pittsburgh (1768)","Artificial intelligence",250000000
"Dublin (1021)","Artificial intelligence",81959918
"S<e3>o Paulo (138)","Artificial intelligence",23460611
"New York-Newark (1758)","Artificial intelligence",947485000
"Oslo (1282)","Artificial intelligence",9732847
"Abidjan (643)","Artificial intelligence",500000
"Singapore (1490)","Artificial intelligence",56880000
"Berlin (727)","Artificial intelligence",147260452
"Beijing (204)","Artificial intelligence",494789880
"Ivanovo (1412)","Artificial intelligence",539761
"Tangshan, Hebei (487)","Artificial intelligence",68193287
"Milano (Milan) (1040)","Artificial intelligence",17351735
"Istanbul (1600)","Artificial intelligence",9390000
"Seoul (1390)","Artificial intelligence",91041562
"San Jose (1786)","Artificial intelligence",1630824633
"Washington, D.C. (1810)","Artificial intelligence",117000000
"Toronto (173)","Artificial intelligence",31837669
"Mangalore (876)","Artificial intelligence",296383808
"Atlanta (1678)","Artificial intelligence",2000000
"Tokyo (1088)","Artificial intelligence",47507629
"San Diego (1784)","Artificial intelligence",469000000
"Philadelphia (1766)","Artificial intelligence",52700000
"Chennai (Madras) (801)","Artificial intelligence",31000000
"Pune (Poona) (899)","Artificial intelligence",583016
"Jiaxing (330)","Artificial intelligence",13722504
"Hong Kong (610)","Artificial intelligence",128600000
"Rotterdam (1223)","Artificial intelligence",1312367
"Montr<e9>al (167)","Artificial intelligence",60000000
"Toledo (1803)","Artificial intelligence",10000
"Denver-Aurora (1707)","Artificial intelligence",169250000
"Tel Aviv-Yafo (Tel Aviv-Jaffa) (1025)","Artificial intelligence",245813000
"Helsinki (702)","Artificial intelligence",7242542
"Utrecht (1225)","Artificial intelligence",2421266
"Amsterdam (1221)","Artificial intelligence",6073655
"M<fc>nchen (Munich) (745)","Artificial intelligence",44755059
"Tallinn (696)","Artificial intelligence",51083562
"Port St. Lucie (1769)","Artificial intelligence",300000
"Sydney (50)","Artificial intelligence",12419383
"Curitiba (105)","Artificial intelligence",3872326
